method,kind,rows,stations,avg_actual,avg_predicted,mae,median_ae,rmse,wape,bias,wape_skill_vs_best_baseline
Yesterday,baseline,65965,2136,34.9373910407034,34.68013340407792,10.963783824755552,5.0,20.78019000203998,0.31381232250520147,-0.007363390023192292,0.0
Same weekday last week,baseline,65965,2136,34.9373910407034,38.1969327931426,16.718618535581772,6.0,32.094803564735244,0.47853082435674543,0.09329665597072496,-52.48949452863303
Rolling 7-day mean,baseline,65965,2136,34.9373910407034,35.57019487246122,12.569366150158995,4.857142857142857,23.358155711925185,0.3597683105620337,0.01811250963246173,-14.644417940621345
Rolling 28-day mean,baseline,65965,2136,34.9373910407034,43.77097942553484,14.016202888476435,5.5,25.92084896663681,0.40118058249246547,0.25284052763241416,-27.840927115223746
Same-DOW rolling mean,baseline,65965,2136,34.9373910407034,46.07627284721168,16.140145102700693,6.25,30.143933397123263,0.461973393602768,0.3188240871658403,-47.2132738175413
Raw ML model,model,65965,2136,34.9373910407034,40.158241271972656,11.698397537593676,4.57493782043457,22.144420915876843,0.33483889864485283,0.14943444555454935,-6.7003666305369025
Calibrated ML model,model,65965,2136,34.9373910407034,36.26253997069276,10.793044891928956,4.4073108957600216,20.255703260189723,0.3089253252870154,0.03792924687609065,1.5572993371237298
